health_region,type_of_expenditure,activity,contents,year,value,type_of_service,occupation
Aker universitetssykehus HF (2002-2008),Other expenditures,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Aker universitetssykehus HF (2002-2008),Other expenditures,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Aker universitetssykehus HF (2002-2008),Other expenditures,Lab/roentgen,Current prices (NOK million),2005,NA,NA,NA
Aker universitetssykehus HF (2002-2008),Other expenditures,Lab/roentgen,Current prices (NOK million),2020,NA,NA,NA
Aker universitetssykehus HF (2002-2008),Other expenditures,Lab/roentgen,Current prices (NOK million),2021,NA,NA,NA
Aker universitetssykehus HF (2002-2008),Other expenditures,Lab/roentgen,Change from previous year (per cent),2005,NA,NA,NA
Aker universitetssykehus HF (2002-2008),Other expenditures,Lab/roentgen,Change from previous year (per cent),2020,NA,NA,NA
Aker universitetssykehus HF (2002-2008),Other expenditures,Lab/roentgen,Change from previous year (per cent),2021,NA,NA,NA
Aker universitetssykehus HF (2002-2008),Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Aker universitetssykehus HF (2002-2008),Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Aker universitetssykehus HF (2002-2008),Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2005,1419,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2005,28,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2005,3,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2005,0,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Other expenditures,Sum all functions,Current prices (NOK million),2005,187,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Other expenditures,Sum all functions,Current prices (NOK million),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Other expenditures,Sum all functions,Current prices (NOK million),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Other expenditures,Sum all functions,Change from previous year (per cent),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Other expenditures,Sum all functions,Change from previous year (per cent),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Other expenditures,Sum all functions,Change from previous year (per cent),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Other expenditures,Drug treatment (TSB),Current prices (NOK million),2005,3,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Other expenditures,Drug treatment (TSB),Current prices (NOK million),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Other expenditures,Drug treatment (TSB),Current prices (NOK million),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Other expenditures,Drug treatment (TSB),Change from previous year (per cent),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Other expenditures,Drug treatment (TSB),Change from previous year (per cent),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Other expenditures,Drug treatment (TSB),Change from previous year (per cent),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Other expenditures,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Other expenditures,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Other expenditures,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Other expenditures,Lab/roentgen,Current prices (NOK million),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Other expenditures,Lab/roentgen,Current prices (NOK million),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Other expenditures,Lab/roentgen,Current prices (NOK million),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Other expenditures,Lab/roentgen,Change from previous year (per cent),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Other expenditures,Lab/roentgen,Change from previous year (per cent),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Other expenditures,Lab/roentgen,Change from previous year (per cent),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2003-2008),Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Other expenditures,Sum all functions,Current prices (NOK million),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Other expenditures,Sum all functions,Current prices (NOK million),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Other expenditures,Sum all functions,Current prices (NOK million),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Other expenditures,Sum all functions,Change from previous year (per cent),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Other expenditures,Sum all functions,Change from previous year (per cent),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Other expenditures,Sum all functions,Change from previous year (per cent),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Other expenditures,Drug treatment (TSB),Current prices (NOK million),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Other expenditures,Drug treatment (TSB),Current prices (NOK million),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Other expenditures,Drug treatment (TSB),Current prices (NOK million),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Other expenditures,Drug treatment (TSB),Change from previous year (per cent),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Other expenditures,Drug treatment (TSB),Change from previous year (per cent),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Other expenditures,Drug treatment (TSB),Change from previous year (per cent),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Other expenditures,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Other expenditures,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Other expenditures,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Other expenditures,Lab/roentgen,Current prices (NOK million),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Other expenditures,Lab/roentgen,Current prices (NOK million),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Other expenditures,Lab/roentgen,Current prices (NOK million),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Other expenditures,Lab/roentgen,Change from previous year (per cent),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Other expenditures,Lab/roentgen,Change from previous year (per cent),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Other expenditures,Lab/roentgen,Change from previous year (per cent),2021,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Sykehuset Asker og Bærum HF (2002),Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Kongsvinger sjukehus HF (2002),Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2005,NA,NA,NA
Kongsvinger sjukehus HF (2002),Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2020,NA,NA,NA
Kongsvinger sjukehus HF (2002),Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2021,NA,NA,NA
Kongsvinger sjukehus HF (2002),Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2005,NA,NA,NA
Kongsvinger sjukehus HF (2002),Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2020,NA,NA,NA
Kongsvinger sjukehus HF (2002),Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2021,NA,NA,NA
Kongsvinger sjukehus HF (2002),Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Kongsvinger sjukehus HF (2002),Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Kongsvinger sjukehus HF (2002),Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Kongsvinger sjukehus HF (2002),Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2005,NA,NA,NA
Kongsvinger sjukehus HF (2002),Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2020,NA,NA,NA
Kongsvinger sjukehus HF (2002),Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2021,NA,NA,NA
Kongsvinger sjukehus HF (2002),Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2005,NA,NA,NA
Kongsvinger sjukehus HF (2002),Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2020,NA,NA,NA
Kongsvinger sjukehus HF (2002),Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2021,NA,NA,NA
Kongsvinger sjukehus HF (2002),Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Kongsvinger sjukehus HF (2002),Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Kongsvinger sjukehus HF (2002),Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Kongsvinger sjukehus HF (2002),Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2005,NA,NA,NA
Kongsvinger sjukehus HF (2002),Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2020,NA,NA,NA
Kongsvinger sjukehus HF (2002),Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2021,NA,NA,NA
Kongsvinger sjukehus HF (2002),Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2005,NA,NA,NA
Kongsvinger sjukehus HF (2002),Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2020,NA,NA,NA
Kongsvinger sjukehus HF (2002),Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2021,NA,NA,NA
Kongsvinger sjukehus HF (2002),Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Kongsvinger sjukehus HF (2002),Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Kongsvinger sjukehus HF (2002),Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Kongsvinger sjukehus HF (2002),Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2005,NA,NA,NA
Kongsvinger sjukehus HF (2002),Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2020,NA,NA,NA
Kongsvinger sjukehus HF (2002),Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2021,NA,NA,NA
Kongsvinger sjukehus HF (2002),Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2005,NA,NA,NA
Kongsvinger sjukehus HF (2002),Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2020,NA,NA,NA
Kongsvinger sjukehus HF (2002),Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2021,NA,NA,NA
Kongsvinger sjukehus HF (2002),Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
