health region,type of service,contents,year,value
Spesialsykehuset for epilepsi HF (2002),Somatic health care,Beds,2002,87
Spesialsykehuset for epilepsi HF (2002),Somatic health care,Beds,2020,0
Spesialsykehuset for epilepsi HF (2002),Somatic health care,Beds,2021,0
Spesialsykehuset for epilepsi HF (2002),Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,NA
Spesialsykehuset for epilepsi HF (2002),Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,0
Spesialsykehuset for epilepsi HF (2002),Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,0
Spesialsykehuset for epilepsi HF (2002),Somatic health care,Day cases per 1 000 inhabitants,2002,NA
Spesialsykehuset for epilepsi HF (2002),Somatic health care,Day cases per 1 000 inhabitants,2020,0
Spesialsykehuset for epilepsi HF (2002),Somatic health care,Day cases per 1 000 inhabitants,2021,0
Spesialsykehuset for epilepsi HF (2002),Drug treatment (TSB),Beds,2002,0
Spesialsykehuset for epilepsi HF (2002),Drug treatment (TSB),Beds,2020,0
Spesialsykehuset for epilepsi HF (2002),Drug treatment (TSB),Beds,2021,0
Spesialsykehuset for epilepsi HF (2002),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Spesialsykehuset for epilepsi HF (2002),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,0
Spesialsykehuset for epilepsi HF (2002),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,0
Spesialsykehuset for epilepsi HF (2002),Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Spesialsykehuset for epilepsi HF (2002),Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,0
Spesialsykehuset for epilepsi HF (2002),Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,0
Spesialsykehuset for rehabilitering HF (2002),Total,Beds,2002,113
Spesialsykehuset for rehabilitering HF (2002),Total,Beds,2020,0
Spesialsykehuset for rehabilitering HF (2002),Total,Beds,2021,0
Spesialsykehuset for rehabilitering HF (2002),Total,Out-patient consultations per 1 000 inhabitants,2002,NA
Spesialsykehuset for rehabilitering HF (2002),Total,Out-patient consultations per 1 000 inhabitants,2020,0
Spesialsykehuset for rehabilitering HF (2002),Total,Out-patient consultations per 1 000 inhabitants,2021,0
Spesialsykehuset for rehabilitering HF (2002),Total,Day cases per 1 000 inhabitants,2002,NA
Spesialsykehuset for rehabilitering HF (2002),Total,Day cases per 1 000 inhabitants,2020,0
Spesialsykehuset for rehabilitering HF (2002),Total,Day cases per 1 000 inhabitants,2021,0
Spesialsykehuset for rehabilitering HF (2002),Somatic health care,Beds,2002,113
Spesialsykehuset for rehabilitering HF (2002),Somatic health care,Beds,2020,0
Spesialsykehuset for rehabilitering HF (2002),Somatic health care,Beds,2021,0
Spesialsykehuset for rehabilitering HF (2002),Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,NA
Spesialsykehuset for rehabilitering HF (2002),Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,0
Spesialsykehuset for rehabilitering HF (2002),Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,0
Spesialsykehuset for rehabilitering HF (2002),Somatic health care,Day cases per 1 000 inhabitants,2002,NA
Spesialsykehuset for rehabilitering HF (2002),Somatic health care,Day cases per 1 000 inhabitants,2020,0
Spesialsykehuset for rehabilitering HF (2002),Somatic health care,Day cases per 1 000 inhabitants,2021,0
Spesialsykehuset for rehabilitering HF (2002),Drug treatment (TSB),Beds,2002,0
Spesialsykehuset for rehabilitering HF (2002),Drug treatment (TSB),Beds,2020,0
Spesialsykehuset for rehabilitering HF (2002),Drug treatment (TSB),Beds,2021,0
Spesialsykehuset for rehabilitering HF (2002),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Spesialsykehuset for rehabilitering HF (2002),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,0
Spesialsykehuset for rehabilitering HF (2002),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,0
Spesialsykehuset for rehabilitering HF (2002),Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Spesialsykehuset for rehabilitering HF (2002),Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,0
Spesialsykehuset for rehabilitering HF (2002),Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,0
Orkdal sanitetsforenings sjukehus HF (2002-2003),Total,Beds,2002,121
Orkdal sanitetsforenings sjukehus HF (2002-2003),Total,Beds,2020,0
Orkdal sanitetsforenings sjukehus HF (2002-2003),Total,Beds,2021,0
Orkdal sanitetsforenings sjukehus HF (2002-2003),Total,Out-patient consultations per 1 000 inhabitants,2002,NA
Orkdal sanitetsforenings sjukehus HF (2002-2003),Total,Out-patient consultations per 1 000 inhabitants,2020,0
Orkdal sanitetsforenings sjukehus HF (2002-2003),Total,Out-patient consultations per 1 000 inhabitants,2021,0
Orkdal sanitetsforenings sjukehus HF (2002-2003),Total,Day cases per 1 000 inhabitants,2002,NA
Orkdal sanitetsforenings sjukehus HF (2002-2003),Total,Day cases per 1 000 inhabitants,2020,0
Orkdal sanitetsforenings sjukehus HF (2002-2003),Total,Day cases per 1 000 inhabitants,2021,0
Orkdal sanitetsforenings sjukehus HF (2002-2003),Somatic health care,Beds,2002,121
Orkdal sanitetsforenings sjukehus HF (2002-2003),Somatic health care,Beds,2020,0
Orkdal sanitetsforenings sjukehus HF (2002-2003),Somatic health care,Beds,2021,0
Orkdal sanitetsforenings sjukehus HF (2002-2003),Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,NA
Orkdal sanitetsforenings sjukehus HF (2002-2003),Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,0
Orkdal sanitetsforenings sjukehus HF (2002-2003),Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,0
Orkdal sanitetsforenings sjukehus HF (2002-2003),Somatic health care,Day cases per 1 000 inhabitants,2002,NA
Orkdal sanitetsforenings sjukehus HF (2002-2003),Somatic health care,Day cases per 1 000 inhabitants,2020,0
Orkdal sanitetsforenings sjukehus HF (2002-2003),Somatic health care,Day cases per 1 000 inhabitants,2021,0
Orkdal sanitetsforenings sjukehus HF (2002-2003),Drug treatment (TSB),Beds,2002,0
Orkdal sanitetsforenings sjukehus HF (2002-2003),Drug treatment (TSB),Beds,2020,0
Orkdal sanitetsforenings sjukehus HF (2002-2003),Drug treatment (TSB),Beds,2021,0
Orkdal sanitetsforenings sjukehus HF (2002-2003),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Orkdal sanitetsforenings sjukehus HF (2002-2003),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,0
Orkdal sanitetsforenings sjukehus HF (2002-2003),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,0
Orkdal sanitetsforenings sjukehus HF (2002-2003),Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Orkdal sanitetsforenings sjukehus HF (2002-2003),Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,0
Orkdal sanitetsforenings sjukehus HF (2002-2003),Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,0
Blefjell sykehus HF (2002-2008),Total,Beds,2002,239
Blefjell sykehus HF (2002-2008),Total,Beds,2020,0
Blefjell sykehus HF (2002-2008),Total,Beds,2021,0
Blefjell sykehus HF (2002-2008),Total,Out-patient consultations per 1 000 inhabitants,2002,NA
Blefjell sykehus HF (2002-2008),Total,Out-patient consultations per 1 000 inhabitants,2020,0
Blefjell sykehus HF (2002-2008),Total,Out-patient consultations per 1 000 inhabitants,2021,0
Blefjell sykehus HF (2002-2008),Total,Day cases per 1 000 inhabitants,2002,NA
Blefjell sykehus HF (2002-2008),Total,Day cases per 1 000 inhabitants,2020,0
Blefjell sykehus HF (2002-2008),Total,Day cases per 1 000 inhabitants,2021,0
Blefjell sykehus HF (2002-2008),Somatic health care,Beds,2002,200
Blefjell sykehus HF (2002-2008),Somatic health care,Beds,2020,0
Blefjell sykehus HF (2002-2008),Somatic health care,Beds,2021,0
Blefjell sykehus HF (2002-2008),Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,NA
Blefjell sykehus HF (2002-2008),Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,0
Blefjell sykehus HF (2002-2008),Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,0
Blefjell sykehus HF (2002-2008),Somatic health care,Day cases per 1 000 inhabitants,2002,NA
Blefjell sykehus HF (2002-2008),Somatic health care,Day cases per 1 000 inhabitants,2020,0
Blefjell sykehus HF (2002-2008),Somatic health care,Day cases per 1 000 inhabitants,2021,0
Blefjell sykehus HF (2002-2008),Drug treatment (TSB),Beds,2002,0
Blefjell sykehus HF (2002-2008),Drug treatment (TSB),Beds,2020,0
Blefjell sykehus HF (2002-2008),Drug treatment (TSB),Beds,2021,0
Blefjell sykehus HF (2002-2008),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Blefjell sykehus HF (2002-2008),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,0
Blefjell sykehus HF (2002-2008),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,0
Blefjell sykehus HF (2002-2008),Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Blefjell sykehus HF (2002-2008),Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,0
Blefjell sykehus HF (2002-2008),Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,0
Sykehuset Buskerud HF (2002-2008),Total,Beds,2002,649
Sykehuset Buskerud HF (2002-2008),Total,Beds,2020,0
Sykehuset Buskerud HF (2002-2008),Total,Beds,2021,0
Sykehuset Buskerud HF (2002-2008),Total,Out-patient consultations per 1 000 inhabitants,2002,NA
Sykehuset Buskerud HF (2002-2008),Total,Out-patient consultations per 1 000 inhabitants,2020,0
Sykehuset Buskerud HF (2002-2008),Total,Out-patient consultations per 1 000 inhabitants,2021,0
Sykehuset Buskerud HF (2002-2008),Total,Day cases per 1 000 inhabitants,2002,NA
Sykehuset Buskerud HF (2002-2008),Total,Day cases per 1 000 inhabitants,2020,0
Sykehuset Buskerud HF (2002-2008),Total,Day cases per 1 000 inhabitants,2021,0
Sykehuset Buskerud HF (2002-2008),Somatic health care,Beds,2002,443
Sykehuset Buskerud HF (2002-2008),Somatic health care,Beds,2020,0
Sykehuset Buskerud HF (2002-2008),Somatic health care,Beds,2021,0
Sykehuset Buskerud HF (2002-2008),Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,NA
Sykehuset Buskerud HF (2002-2008),Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,0
Sykehuset Buskerud HF (2002-2008),Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,0
Sykehuset Buskerud HF (2002-2008),Somatic health care,Day cases per 1 000 inhabitants,2002,NA
Sykehuset Buskerud HF (2002-2008),Somatic health care,Day cases per 1 000 inhabitants,2020,0
Sykehuset Buskerud HF (2002-2008),Somatic health care,Day cases per 1 000 inhabitants,2021,0
Sykehuset Buskerud HF (2002-2008),Drug treatment (TSB),Beds,2002,0
Sykehuset Buskerud HF (2002-2008),Drug treatment (TSB),Beds,2020,0
Sykehuset Buskerud HF (2002-2008),Drug treatment (TSB),Beds,2021,0
Sykehuset Buskerud HF (2002-2008),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Sykehuset Buskerud HF (2002-2008),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,0
Sykehuset Buskerud HF (2002-2008),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,0
Sykehuset Buskerud HF (2002-2008),Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Sykehuset Buskerud HF (2002-2008),Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,0
Sykehuset Buskerud HF (2002-2008),Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,0
Aker universitetssykehus HF (2002-2008),Total,Beds,2002,684
Aker universitetssykehus HF (2002-2008),Total,Beds,2020,0
Aker universitetssykehus HF (2002-2008),Total,Beds,2021,0
Aker universitetssykehus HF (2002-2008),Total,Out-patient consultations per 1 000 inhabitants,2002,NA
Aker universitetssykehus HF (2002-2008),Total,Out-patient consultations per 1 000 inhabitants,2020,0
Aker universitetssykehus HF (2002-2008),Total,Out-patient consultations per 1 000 inhabitants,2021,0
Aker universitetssykehus HF (2002-2008),Total,Day cases per 1 000 inhabitants,2002,NA
Aker universitetssykehus HF (2002-2008),Total,Day cases per 1 000 inhabitants,2020,0
Aker universitetssykehus HF (2002-2008),Total,Day cases per 1 000 inhabitants,2021,0
Aker universitetssykehus HF (2002-2008),Somatic health care,Beds,2002,395
Aker universitetssykehus HF (2002-2008),Somatic health care,Beds,2020,0
Aker universitetssykehus HF (2002-2008),Somatic health care,Beds,2021,0
Aker universitetssykehus HF (2002-2008),Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,NA
Aker universitetssykehus HF (2002-2008),Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,0
Aker universitetssykehus HF (2002-2008),Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,0
Aker universitetssykehus HF (2002-2008),Somatic health care,Day cases per 1 000 inhabitants,2002,NA
Aker universitetssykehus HF (2002-2008),Somatic health care,Day cases per 1 000 inhabitants,2020,0
Aker universitetssykehus HF (2002-2008),Somatic health care,Day cases per 1 000 inhabitants,2021,0
Aker universitetssykehus HF (2002-2008),Drug treatment (TSB),Beds,2002,0
Aker universitetssykehus HF (2002-2008),Drug treatment (TSB),Beds,2020,0
Aker universitetssykehus HF (2002-2008),Drug treatment (TSB),Beds,2021,0
Aker universitetssykehus HF (2002-2008),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Aker universitetssykehus HF (2002-2008),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,0
Aker universitetssykehus HF (2002-2008),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,0
Aker universitetssykehus HF (2002-2008),Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Aker universitetssykehus HF (2002-2008),Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,0
Aker universitetssykehus HF (2002-2008),Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,0
Barne- og ungdomsprykiatri Oslo HF (2002),Total,Beds,2002,51
Barne- og ungdomsprykiatri Oslo HF (2002),Total,Beds,2020,0
Barne- og ungdomsprykiatri Oslo HF (2002),Total,Beds,2021,0
Barne- og ungdomsprykiatri Oslo HF (2002),Total,Out-patient consultations per 1 000 inhabitants,2002,NA
Barne- og ungdomsprykiatri Oslo HF (2002),Total,Out-patient consultations per 1 000 inhabitants,2020,0
Barne- og ungdomsprykiatri Oslo HF (2002),Total,Out-patient consultations per 1 000 inhabitants,2021,0
Barne- og ungdomsprykiatri Oslo HF (2002),Total,Day cases per 1 000 inhabitants,2002,NA
Barne- og ungdomsprykiatri Oslo HF (2002),Total,Day cases per 1 000 inhabitants,2020,0
Barne- og ungdomsprykiatri Oslo HF (2002),Total,Day cases per 1 000 inhabitants,2021,0
Barne- og ungdomsprykiatri Oslo HF (2002),Somatic health care,Beds,2002,0
Barne- og ungdomsprykiatri Oslo HF (2002),Somatic health care,Beds,2020,0
Barne- og ungdomsprykiatri Oslo HF (2002),Somatic health care,Beds,2021,0
Barne- og ungdomsprykiatri Oslo HF (2002),Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,0
Barne- og ungdomsprykiatri Oslo HF (2002),Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,0
Barne- og ungdomsprykiatri Oslo HF (2002),Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,0
Barne- og ungdomsprykiatri Oslo HF (2002),Somatic health care,Day cases per 1 000 inhabitants,2002,0
Barne- og ungdomsprykiatri Oslo HF (2002),Somatic health care,Day cases per 1 000 inhabitants,2020,0
Barne- og ungdomsprykiatri Oslo HF (2002),Somatic health care,Day cases per 1 000 inhabitants,2021,0
Barne- og ungdomsprykiatri Oslo HF (2002),Drug treatment (TSB),Beds,2002,0
Barne- og ungdomsprykiatri Oslo HF (2002),Drug treatment (TSB),Beds,2020,0
Barne- og ungdomsprykiatri Oslo HF (2002),Drug treatment (TSB),Beds,2021,0
Barne- og ungdomsprykiatri Oslo HF (2002),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Barne- og ungdomsprykiatri Oslo HF (2002),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,0
Barne- og ungdomsprykiatri Oslo HF (2002),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,0
Barne- og ungdomsprykiatri Oslo HF (2002),Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Barne- og ungdomsprykiatri Oslo HF (2002),Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,0
Barne- og ungdomsprykiatri Oslo HF (2002),Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,0
Blakstad sykehus HF (2002),Total,Beds,2002,249
Blakstad sykehus HF (2002),Total,Beds,2020,0
Blakstad sykehus HF (2002),Total,Beds,2021,0
Blakstad sykehus HF (2002),Total,Out-patient consultations per 1 000 inhabitants,2002,NA
Blakstad sykehus HF (2002),Total,Out-patient consultations per 1 000 inhabitants,2020,0
Blakstad sykehus HF (2002),Total,Out-patient consultations per 1 000 inhabitants,2021,0
Blakstad sykehus HF (2002),Total,Day cases per 1 000 inhabitants,2002,NA
Blakstad sykehus HF (2002),Total,Day cases per 1 000 inhabitants,2020,0
Blakstad sykehus HF (2002),Total,Day cases per 1 000 inhabitants,2021,0
Blakstad sykehus HF (2002),Somatic health care,Beds,2002,0
Blakstad sykehus HF (2002),Somatic health care,Beds,2020,0
Blakstad sykehus HF (2002),Somatic health care,Beds,2021,0
Blakstad sykehus HF (2002),Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,0
Blakstad sykehus HF (2002),Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,0
Blakstad sykehus HF (2002),Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,0
Blakstad sykehus HF (2002),Somatic health care,Day cases per 1 000 inhabitants,2002,0
Blakstad sykehus HF (2002),Somatic health care,Day cases per 1 000 inhabitants,2020,0
Blakstad sykehus HF (2002),Somatic health care,Day cases per 1 000 inhabitants,2021,0
Blakstad sykehus HF (2002),Drug treatment (TSB),Beds,2002,0
Blakstad sykehus HF (2002),Drug treatment (TSB),Beds,2020,0
Blakstad sykehus HF (2002),Drug treatment (TSB),Beds,2021,0
Blakstad sykehus HF (2002),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Blakstad sykehus HF (2002),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,0
Blakstad sykehus HF (2002),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,0
Blakstad sykehus HF (2002),Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Blakstad sykehus HF (2002),Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,0
Blakstad sykehus HF (2002),Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,0
Sykehuset Asker og Bærum HF (2003-2008),Total,Beds,2002,0
Sykehuset Asker og Bærum HF (2003-2008),Total,Beds,2020,0
Sykehuset Asker og Bærum HF (2003-2008),Total,Beds,2021,0
Sykehuset Asker og Bærum HF (2003-2008),Total,Out-patient consultations per 1 000 inhabitants,2002,0
Sykehuset Asker og Bærum HF (2003-2008),Total,Out-patient consultations per 1 000 inhabitants,2020,0
Sykehuset Asker og Bærum HF (2003-2008),Total,Out-patient consultations per 1 000 inhabitants,2021,0
Sykehuset Asker og Bærum HF (2003-2008),Total,Day cases per 1 000 inhabitants,2002,0
Sykehuset Asker og Bærum HF (2003-2008),Total,Day cases per 1 000 inhabitants,2020,0
Sykehuset Asker og Bærum HF (2003-2008),Total,Day cases per 1 000 inhabitants,2021,0
Sykehuset Asker og Bærum HF (2003-2008),Somatic health care,Beds,2002,0
Sykehuset Asker og Bærum HF (2003-2008),Somatic health care,Beds,2020,0
Sykehuset Asker og Bærum HF (2003-2008),Somatic health care,Beds,2021,0
Sykehuset Asker og Bærum HF (2003-2008),Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,0
Sykehuset Asker og Bærum HF (2003-2008),Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,0
Sykehuset Asker og Bærum HF (2003-2008),Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,0
Sykehuset Asker og Bærum HF (2003-2008),Somatic health care,Day cases per 1 000 inhabitants,2002,0
Sykehuset Asker og Bærum HF (2003-2008),Somatic health care,Day cases per 1 000 inhabitants,2020,0
Sykehuset Asker og Bærum HF (2003-2008),Somatic health care,Day cases per 1 000 inhabitants,2021,0
Sykehuset Asker og Bærum HF (2003-2008),Drug treatment (TSB),Beds,2002,0
Sykehuset Asker og Bærum HF (2003-2008),Drug treatment (TSB),Beds,2020,0
Sykehuset Asker og Bærum HF (2003-2008),Drug treatment (TSB),Beds,2021,0
Sykehuset Asker og Bærum HF (2003-2008),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Sykehuset Asker og Bærum HF (2003-2008),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,0
Sykehuset Asker og Bærum HF (2003-2008),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,0
Sykehuset Asker og Bærum HF (2003-2008),Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Sykehuset Asker og Bærum HF (2003-2008),Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,0
Sykehuset Asker og Bærum HF (2003-2008),Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,0
Sykehuset Asker og Bærum HF (2002),Total,Beds,2002,260
Sykehuset Asker og Bærum HF (2002),Total,Beds,2020,0
Sykehuset Asker og Bærum HF (2002),Total,Beds,2021,0
Sykehuset Asker og Bærum HF (2002),Total,Out-patient consultations per 1 000 inhabitants,2002,NA
Sykehuset Asker og Bærum HF (2002),Total,Out-patient consultations per 1 000 inhabitants,2020,0
Sykehuset Asker og Bærum HF (2002),Total,Out-patient consultations per 1 000 inhabitants,2021,0
Sykehuset Asker og Bærum HF (2002),Total,Day cases per 1 000 inhabitants,2002,NA
Sykehuset Asker og Bærum HF (2002),Total,Day cases per 1 000 inhabitants,2020,0
Sykehuset Asker og Bærum HF (2002),Total,Day cases per 1 000 inhabitants,2021,0
Sykehuset Asker og Bærum HF (2002),Somatic health care,Beds,2002,260
Sykehuset Asker og Bærum HF (2002),Somatic health care,Beds,2020,0
Sykehuset Asker og Bærum HF (2002),Somatic health care,Beds,2021,0
Sykehuset Asker og Bærum HF (2002),Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,NA
Sykehuset Asker og Bærum HF (2002),Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,0
Sykehuset Asker og Bærum HF (2002),Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,0
Sykehuset Asker og Bærum HF (2002),Somatic health care,Day cases per 1 000 inhabitants,2002,NA
Sykehuset Asker og Bærum HF (2002),Somatic health care,Day cases per 1 000 inhabitants,2020,0
Sykehuset Asker og Bærum HF (2002),Somatic health care,Day cases per 1 000 inhabitants,2021,0
Sykehuset Asker og Bærum HF (2002),Drug treatment (TSB),Beds,2002,0
Sykehuset Asker og Bærum HF (2002),Drug treatment (TSB),Beds,2020,0
Sykehuset Asker og Bærum HF (2002),Drug treatment (TSB),Beds,2021,0
Sykehuset Asker og Bærum HF (2002),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Sykehuset Asker og Bærum HF (2002),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,0
Sykehuset Asker og Bærum HF (2002),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,0
Sykehuset Asker og Bærum HF (2002),Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Sykehuset Asker og Bærum HF (2002),Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,0
Sykehuset Asker og Bærum HF (2002),Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,0
Kongsvinger sjukehus HF (2002),Total,Beds,2002,145
Kongsvinger sjukehus HF (2002),Total,Beds,2020,0
Kongsvinger sjukehus HF (2002),Total,Beds,2021,0
Kongsvinger sjukehus HF (2002),Total,Out-patient consultations per 1 000 inhabitants,2002,NA
Kongsvinger sjukehus HF (2002),Total,Out-patient consultations per 1 000 inhabitants,2020,0
Kongsvinger sjukehus HF (2002),Total,Out-patient consultations per 1 000 inhabitants,2021,0
Kongsvinger sjukehus HF (2002),Total,Day cases per 1 000 inhabitants,2002,NA
Kongsvinger sjukehus HF (2002),Total,Day cases per 1 000 inhabitants,2020,0
Kongsvinger sjukehus HF (2002),Total,Day cases per 1 000 inhabitants,2021,0
Kongsvinger sjukehus HF (2002),Somatic health care,Beds,2002,122
Kongsvinger sjukehus HF (2002),Somatic health care,Beds,2020,0
Kongsvinger sjukehus HF (2002),Somatic health care,Beds,2021,0
Kongsvinger sjukehus HF (2002),Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,NA
Kongsvinger sjukehus HF (2002),Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,0
Kongsvinger sjukehus HF (2002),Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,0
Kongsvinger sjukehus HF (2002),Somatic health care,Day cases per 1 000 inhabitants,2002,NA
Kongsvinger sjukehus HF (2002),Somatic health care,Day cases per 1 000 inhabitants,2020,0
Kongsvinger sjukehus HF (2002),Somatic health care,Day cases per 1 000 inhabitants,2021,0
Kongsvinger sjukehus HF (2002),Drug treatment (TSB),Beds,2002,0
Kongsvinger sjukehus HF (2002),Drug treatment (TSB),Beds,2020,0
Kongsvinger sjukehus HF (2002),Drug treatment (TSB),Beds,2021,0
Kongsvinger sjukehus HF (2002),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Kongsvinger sjukehus HF (2002),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,0
Kongsvinger sjukehus HF (2002),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,0
Kongsvinger sjukehus HF (2002),Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Kongsvinger sjukehus HF (2002),Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,0
Kongsvinger sjukehus HF (2002),Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,0
Sykehuset Innlandet HF (2003-),Total,Beds,2002,0
Sykehuset Innlandet HF (2003-),Total,Beds,2020,921
Sykehuset Innlandet HF (2003-),Total,Beds,2021,910
Sykehuset Innlandet HF (2003-),Total,Out-patient consultations per 1 000 inhabitants,2002,0
Sykehuset Innlandet HF (2003-),Total,Out-patient consultations per 1 000 inhabitants,2020,NA
Sykehuset Innlandet HF (2003-),Total,Out-patient consultations per 1 000 inhabitants,2021,NA
Sykehuset Innlandet HF (2003-),Total,Day cases per 1 000 inhabitants,2002,0
Sykehuset Innlandet HF (2003-),Total,Day cases per 1 000 inhabitants,2020,NA
Sykehuset Innlandet HF (2003-),Total,Day cases per 1 000 inhabitants,2021,NA
Sykehuset Innlandet HF (2003-),Somatic health care,Beds,2002,0
Sykehuset Innlandet HF (2003-),Somatic health care,Beds,2020,659
Sykehuset Innlandet HF (2003-),Somatic health care,Beds,2021,650
Sykehuset Innlandet HF (2003-),Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,0
Sykehuset Innlandet HF (2003-),Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,NA
Sykehuset Innlandet HF (2003-),Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,NA
